 Location:  8N 170W  25 Aug 1992 to 11 May 2012 ( 7200 times,  4 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 25 Aug 1992 to 1200 11 Aug 1994 (index     1 to   717,  717 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19920825 1200  -0.1   0.9   0.9 350.6 12 11
 19920826 1200   2.2  -1.8   2.8 130.0 12 55
 19920827 1200  -1.9   0.9   2.1 294.7 12 55
 19920828 1200  -5.7   1.7   6.0 286.8 12 55
 19920829 1200  -6.0   1.8   6.3 286.2 12 55
 19920830 1200  -6.0   2.1   6.3 289.7 12 55
 19920831 1200  -3.3  -1.4   3.6 247.9 12 55
 19920901 1200  -1.0  -2.9   3.1 198.6 12 55
 19920902 1200  -3.3  -0.3   3.3 264.1 12 55
 19920903 1200  -1.3   3.1   3.4 338.2 12 55
 19920904 1200  -1.1   3.8   4.0 343.3 12 55
 19920905 1200  -1.2  -0.3   1.2 256.1 12 55
 19920906 1200   1.9  -0.4   1.9 102.1 12 55
 19920907 1200   2.9   1.4   3.2  64.4 12 55
 19920908 1200   2.7   0.8   2.8  74.5 12 55
 19920909 1200   4.3   2.0   4.7  65.4 12 55
 19920910 1200   6.8   2.7   7.3  68.0 12 55
 19920911 1200   4.2   1.5   4.5  70.8 12 55
 19920912 1200   0.4   1.2   1.2  19.2 12 55
 19920913 1200  -1.6   0.2   1.6 277.9 12 55
 19920914 1200  -3.2  -3.5   4.8 221.9 12 55
 19920915 1200  -0.2  -0.1   0.3 255.7 12 55
 19920916 1200   0.3  -0.8   0.8 156.7 12 55
 19920917 1200  -0.9   0.5   1.0 297.9 12 55
 19920918 1200  -0.4   5.9   5.9 356.3 12 55
 19920919 1200  -2.8   3.9   4.7 324.4 12 55
 19920920 1200   2.4   0.2   2.4  84.2 12 55
 19920921 1200   2.1  -2.7   3.4 141.9 12 55
 19920922 1200   0.1   0.9   0.9   5.3 12 55
 19920923 1200   3.8   5.3   6.5  36.0 12 55
 19920924 1200   2.8   2.1   3.5  52.0 12 55
 19920925 1200   1.1   0.5   1.2  68.0 12 55
 19920926 1200  -0.5  -1.0   1.1 205.6 12 55
 19920927 1200  -2.2   1.4   2.6 303.3 12 55
 19920928 1200  -6.2   3.6   7.2 300.4 12 55
 19920929 1200  -5.4   1.7   5.7 287.2 12 55
 19920930 1200  -3.5  -2.0   4.0 240.7 12 55
 19921001 1200  -3.8  -1.5   4.1 248.0 12 55
 19921002 1200  -2.8  -0.4   2.8 261.2 12 55
 19921003 1200  -3.4   0.0   3.4 270.1 12 55
 19921004 1200  -2.0   1.9   2.8 313.7 12 55
 19921005 1200  -2.0   0.8   2.2 291.4 12 55
 19921006 1200  -4.2   0.5   4.3 277.2 12 55
 19921007 1200  -1.8   1.1   2.1 302.2 12 55
 19921008 1200  -1.9   0.7   2.0 290.6 12 55
 19921009 1200  -3.2  -0.2   3.3 266.2 12 55
 19921010 1200  -4.4   0.9   4.5 281.7 12 55
