 Location:  8N 155W  12 Aug 1992 to 22 Nov 2013 ( 7773 times, 10 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 12 Aug 1992 to 1200 15 Sep 1993 (index     1 to   400,  400 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19920812 1200  -1.2   4.2   4.4 344.2 14 11
 19920813 1200   0.4  -1.7   1.8 166.3 14 11
 19920814 1200  -3.5   0.2   3.5 273.5 14 11
 19920815 1200  -3.5   1.0   3.6 286.6 14 11
 19920816 1200  -4.6   3.8   6.0 310.0 14 11
 19920817 1200  -0.8  -0.4   0.9 241.7 14 11
 19920818 1200   0.4   1.4   1.4  17.2 14 11
 19920819 1200  -1.3  -0.3   1.3 258.7 14 11
 19920820 1200  -1.3   3.4   3.6 339.7 14 11
 19920821 1200  -1.4   5.0   5.2 344.8 14 11
 19920822 1200  -1.8  -0.2   1.8 262.9 14 11
 19920823 1200  -1.0   1.3   1.7 323.6 14 11
 19920824 1200   0.5   3.2   3.3   8.8 14 11
 19920825 1200  -0.1   5.3   5.3 359.1 14 11
 19920826 1200  -3.6   3.4   5.0 313.6 14 11
 19920827 1200  -4.4   0.7   4.5 279.6 14 11
 19920828 1200  -3.6   1.0   3.7 285.6 14 11
 19920829 1200  -3.6   3.2   4.8 311.0 14 11
 19920830 1200  -2.6   1.4   2.9 297.6 14 11
 19920831 1200  -1.6   4.9   5.2 341.7 14 11
 19920901 1200  -2.5   6.0   6.5 337.6 14 11
 19920902 1200   0.9   3.0   3.2  16.3 14 11
 19920903 1200  -0.7   2.9   3.0 346.6 14 11
 19920904 1200   0.8   2.9   3.0  15.5 14 11
 19920905 1200   2.6  -0.7   2.7 104.4 14 11
 19920906 1200  -0.5  -0.7   0.9 216.4 14 11
 19920907 1200   4.5   3.5   5.7  52.7 14 11
 19920908 1200   3.3   6.3   7.1  27.9 14 11
 19920909 1200   4.8   5.7   7.5  40.4 14 11
 19920910 1200   1.7   1.6   2.4  46.7 14 11
 19920911 1200   0.9   0.9   1.3  43.3 14 11
 19920912 1200   0.1   2.4   2.4   3.2 14 11
 19920913 1200  -1.4   1.0   1.7 306.3 14 11
 19920914 1200  -1.6   0.9   1.8 300.4 14 11
 19920915 1200   0.5   2.2   2.3  11.7 14 11
 19920916 1200  -1.2  -0.5   1.3 249.2 14 11
 19920917 1200  -1.4   0.5   1.4 290.4 14 11
 19920918 1200  -2.8   2.0   3.5 304.8 14 11
 19920919 1200  -4.7   1.6   5.0 288.5 14 11
 19920920 1200  -6.2  -1.5   6.4 256.7 14 11
 19920921 1200  -4.8   2.5   5.4 297.1 14 11
 19920922 1200   0.0   0.0   0.0 181.1 14 11
 19920923 1200  -2.3  -1.3   2.6 239.8 14 11
 19920924 1200   1.6   3.7   4.0  23.3 14 11
 19920925 1200  -0.4   5.0   5.0 355.9 14 11
