 Location:  8N 125W   2 Oct 1992 to 23 Sep 2013 ( 7662 times, 17 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  2 Oct 1992 to 1200 23 Dec 1992 (index     1 to    83,   83 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19921002 1200   1.4   7.6   7.7  10.2 22 11
 19921003 1200  -0.2   5.9   5.9 358.1 22 11
 19921004 1200  -0.7   4.5   4.5 351.0 22 11
 19921005 1200   1.1   2.0   2.3  27.1 22 11
 19921006 1200   1.3   4.8   4.9  15.3 22 11
 19921007 1200   0.0   6.3   6.3 359.9 22 11
 19921008 1200   0.2   4.2   4.2   3.0 22 11
 19921009 1200   1.0   3.8   4.0  15.1 22 11
 19921010 1200  -1.5   7.2   7.4 348.2 22 11
 19921011 1200  -1.9   5.7   6.0 340.9 22 11
 19921012 1200  -1.6   1.5   2.2 313.0 22 11
 19921013 1200  -1.7   1.5   2.3 310.8 22 11
 19921014 1200  -1.3   0.9   1.6 303.9 22 11
 19921015 1200   1.9   5.5   5.8  19.6 22 11
 19921016 1200   0.1   7.1   7.1   1.1 22 11
 19921017 1200  -0.9   7.7   7.8 353.2 22 11
 19921018 1200  -3.3   5.5   6.4 329.2 22 11
 19921019 1200  -1.7   1.2   2.1 306.4 22 11
 19921020 1200   0.9  -0.4   1.0 112.6 22 11
 19921021 1200   2.2   4.4   4.9  27.1 22 11
 19921022 1200  -1.3   1.6   2.1 320.4 22 11
 19921023 1200  -4.2   0.2   4.2 272.3 22 11
 19921024 1200  -2.8   2.5   3.8 312.5 22 11
 19921025 1200  -3.4   4.0   5.2 319.4 22 11
 19921026 1200  -0.7   4.5   4.6 350.9 22 11
 19921027 1200  -0.7   2.1   2.2 340.9 22 11
 19921028 1200  -1.5   3.4   3.7 336.8 22 11
 19921029 1200  -2.2   5.3   5.7 337.8 22 11
 19921030 1200  -1.5   2.5   3.0 329.1 22 11
 19921031 1200   0.0   1.2   1.2   0.8 22 11
 19921101 1200  -2.2   2.6   3.4 320.2 22 11
 19921102 1200   1.1   3.1   3.3  19.7 22 11
 19921103 1200   0.4   3.4   3.5   7.0 22 11
 19921104 1200   2.1   4.5   4.9  25.2 22 11
 19921105 1200   1.9   2.3   3.0  39.8 22 11
 19921106 1200   0.6   1.6   1.7  21.6 22 11
 19921107 1200  -0.8   2.1   2.3 338.6 22 11
 19921108 1200   1.9   0.9   2.1  63.5 22 11
 19921109 1200   2.1   2.0   2.9  46.2 22 11
 19921110 1200   2.0   3.8   4.3  27.4 22 11
 19921111 1200  -2.2   3.3   4.0 326.3 22 11
 19921112 1200  -0.5   2.1   2.2 346.7 22 11
 19921113 1200   2.6   2.2   3.4  50.3 22 11
 19921114 1200   1.6   3.4   3.8  24.8 22 11
 19921115 1200   0.3   4.0   4.0   3.7 22 11
 19921116 1200  -1.2  -1.7   2.1 216.6 22 11
 19921117 1200  -0.4  -1.3   1.4 197.7 22 11
 19921118 1200  -2.3   2.6   3.5 318.7 22 11
 19921119 1200  -0.3   1.7   1.7 349.8 22 11
 19921120 1200   1.4   1.9   2.4  37.2 22 11
 19921121 1200   3.0   2.5   3.9  50.1 22 11
 19921122 1200   3.5   2.5   4.3  54.6 22 11
 19921123 1200   3.8   4.7   6.1  38.7 22 11
 19921124 1200   3.0   2.1   3.7  55.9 22 11
 19921125 1200   1.6   1.2   2.0  54.8 22 11
 19921126 1200   2.3   3.2   4.0  34.9 22 11
 19921127 1200   0.8  -1.4   1.6 149.9 22 11
 19921128 1200  -0.4  -1.1   1.1 202.1 22 11
 19921129 1200   0.3  -0.7   0.8 153.4 22 11
 19921130 1200  -0.8   3.4   3.5 347.4 22 11
 19921201 1200  -0.5   7.1   7.1 356.1 22 11
 19921202 1200  -0.5   4.1   4.2 352.8 22 11
 19921203 1200  -0.9   0.8   1.2 309.1 22 11
 19921204 1200  -0.7   4.8   4.8 351.8 22 11
 19921205 1200  -0.7   3.4   3.5 348.7 22 11
 19921206 1200  -0.5  -3.6   3.6 188.2 22 11
 19921207 1200  -1.9  -3.2   3.7 210.8 22 11
 19921208 1200  -3.2   3.2   4.5 315.0 22 11
 19921209 1200  -6.3   0.4   6.3 273.4 22 11
 19921210 1200  -1.0   5.7   5.8 349.8 22 11
 19921211 1200  -2.3   3.7   4.3 328.3 22 11
 19921212 1200  -1.4   0.8   1.6 300.5 22 11
 19921213 1200   0.7   1.8   1.9  21.6 22 11
 19921214 1200   1.5   4.7   4.9  17.5 22 11
 19921215 1200   0.7   6.2   6.2   6.2 22 11
 19921216 1200   0.6   2.2   2.3  15.1 22 11
 19921217 1200  -2.0   2.9   3.5 324.7 22 11
 19921218 1200  -2.6   3.4   4.3 321.6 22 11
 19921219 1200  -0.8   2.9   3.0 343.6 22 11
 19921220 1200  -1.2   2.4   2.7 332.9 22 11
 19921221 1200  -2.8   3.7   4.6 323.4 22 11
 19921222 1200  -4.1  -1.9   4.5 244.5 22 11
 19921223 1200  -5.0  -3.2   5.9 237.4 22 11
 Time: 1200  5 May 1993 to 1200 23 Apr 1998 (index   216 to  2030, 1815 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19930505 1200  -5.1  -1.9   5.5 249.8 12 55
 19930506 1200  -4.7   1.1   4.8 283.0 12 55
 19930507 1200  -2.3   0.3   2.3 278.7 12 55
 19930508 1200  -2.2  -4.9   5.4 204.3 12 55
 19930509 1200  -4.8  -5.0   7.0 223.8 12 55
 19930510 1200  -0.5  -1.7   1.8 197.1 12 55
 19930511 1200   1.5  -2.0   2.5 142.2 12 55
 19930512 1200  -5.0  -2.2   5.4 245.5 12 55
 19930513 1200  -3.8  -1.9   4.2 243.2 12 55
 19930514 1200  -6.4  -4.6   7.9 234.6 12 55
 19930515 1200  -5.7  -3.7   6.8 237.0 12 55
 19930516 1200  -4.8  -3.5   6.0 233.7 12 55
 19930517 1200  -6.3  -4.8   8.0 233.1 12 55
 19930518 1200  -5.4  -4.5   7.0 230.0 12 55
